Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
  0.16500000E+000  0.79996246E+001  0.24825167E+000 -0.88909409E-001  0.26369257E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39785784E+004  0.20861495E+001  0.59134752E+001  0.79996246E+001 -0.38273257E+001
  0.17250000E+000  0.79996218E+001 -0.26431569E+000  0.19116852E-001  0.26500611E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39785230E+004  0.20922547E+001  0.59073670E+001  0.79996218E+001 -0.38151123E+001
  0.18000000E+000  0.79996331E+001  0.26125016E+000  0.52571052E-001  0.26648708E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39786777E+004  0.20984686E+001  0.59011646E+001  0.79996331E+001 -0.38026960E+001
  0.18750000E+000  0.79996911E+001 -0.23903049E+000 -0.12071963E+000  0.26778499E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39789431E+004  0.21048029E+001  0.58948882E+001  0.79996911E+001 -0.37900853E+001
  0.19500000E+000  0.79996811E+001  0.19925196E+000  0.18022746E+000  0.26866947E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39789953E+004  0.21110857E+001  0.58885954E+001  0.79996811E+001 -0.37775098E+001
  0.20250000E+000  0.79996768E+001 -0.14494369E+000 -0.22684265E+000  0.26919558E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39793324E+004  0.21172906E+001  0.58823863E+001  0.79996768E+001 -0.37650957E+001
  0.21000000E+000  0.79996636E+001  0.80075425E-001  0.25744550E+000  0.26961131E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39798185E+004  0.21233023E+001  0.58763612E+001  0.79996636E+001 -0.37530589E+001
  0.21750000E+000  0.79995113E+001 -0.91710329E-002 -0.27000976E+000  0.27016547E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39799999E+004  0.21289300E+001  0.58705813E+001  0.79995113E+001 -0.37416513E+001
  0.22500000E+000  0.79994622E+001 -0.62873322E-001  0.26353937E+000  0.27093551E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39801323E+004  0.21343519E+001  0.58651103E+001  0.79994622E+001 -0.37307584E+001
  0.23250000E+000  0.79994135E+001  0.13098782E+000 -0.23817546E+000  0.27181862E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39799772E+004  0.21395424E+001  0.58598710E+001  0.79994135E+001 -0.37203286E+001
