Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
  0.55000000E-001  0.10045393E+001 -0.28827215E+000  0.92429895E+000  0.96820937E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36782092E+004  0.10016203E+001  0.29190364E-002  0.10045393E+001  0.99870123E+000
  0.57500000E-001  0.10047478E+001  0.17505075E+000  0.95268726E+000  0.96863604E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36759344E+004  0.10015634E+001  0.31844174E-002  0.10047478E+001  0.99837898E+000
  0.60000000E-001  0.10049551E+001  0.59935413E+000  0.76172857E+000  0.96925527E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36727639E+004  0.10014943E+001  0.34607795E-002  0.10049551E+001  0.99803353E+000
  0.62500000E-001  0.10051633E+001  0.88581835E+000  0.39394329E+000  0.96946659E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36690448E+004  0.10014156E+001  0.37476696E-002  0.10051633E+001  0.99766795E+000
  0.65000000E-001  0.10053711E+001  0.96674804E+000 -0.65279382E-001  0.96894951E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36668875E+004  0.10013259E+001  0.40452004E-002  0.10053711E+001  0.99728073E+000
  0.67500000E-001  0.10055769E+001  0.82362800E+000 -0.50826516E+000  0.96783085E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36667586E+004  0.10012229E+001  0.43539980E-002  0.10055769E+001  0.99686892E+000
  0.70000000E-001  0.10057811E+001  0.49127095E+000 -0.83245058E+000  0.96660287E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36659974E+004  0.10011065E+001  0.46746545E-002  0.10057811E+001  0.99643181E+000
  0.72500000E-001  0.10059843E+001  0.47315383E-001 -0.96467978E+000  0.96583944E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36628637E+004  0.10009774E+001  0.50069288E-002  0.10059843E+001  0.99597046E+000
  0.75000000E-001  0.10061851E+001 -0.40704907E+000 -0.87591654E+000  0.96587718E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36598405E+004  0.10008348E+001  0.53503656E-002  0.10061851E+001  0.99548441E+000
  0.77500000E-001  0.10063826E+001 -0.76879884E+000 -0.58594050E+000  0.96663226E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36586798E+004  0.10006779E+001  0.57046650E-002  0.10063826E+001  0.99497326E+000
  0.80000000E-001  0.10065798E+001 -0.95436817E+000 -0.15966440E+000  0.96763181E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36567120E+004  0.10005101E+001  0.60696659E-002  0.10065798E+001  0.99444044E+000
  0.82500000E-001  0.10067790E+001 -0.91890555E+000  0.30513665E+000  0.96824366E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36525895E+004  0.10003344E+001  0.64446562E-002  0.10067790E+001  0.99388969E+000
  0.85000000E-001  0.10069815E+001 -0.66923507E+000  0.69939489E+000  0.96800247E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36491455E+004  0.10001513E+001  0.68301936E-002  0.10069815E+001  0.99332106E+000
  0.87500000E-001  0.10071848E+001 -0.26416871E+000  0.93006547E+000  0.96685412E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36491926E+004  0.99995847E+000  0.72263548E-002  0.10071848E+001  0.99273211E+000
  0.90000000E-001  0.10073876E+001  0.20041558E+000  0.94413854E+000  0.96517562E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36511517E+004  0.99975354E+000  0.76340734E-002  0.10073876E+001  0.99211946E+000
  0.92500000E-001  0.10075892E+001  0.61650728E+000  0.74051477E+000  0.96355765E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36499171E+004  0.99953531E+000  0.80539228E-002  0.10075892E+001  0.99148138E+000
  0.95000000E-001  0.10077848E+001  0.88950819E+000  0.36761374E+000  0.96247840E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36462492E+004  0.99930002E+000  0.84847617E-002  0.10077848E+001  0.99081526E+000
  0.97500000E-001  0.10079724E+001  0.95791287E+000 -0.89186645E-001  0.96205578E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36445087E+004  0.99904676E+000  0.89256678E-002  0.10079724E+001  0.99012109E+000
  0.10000000E+000  0.10081602E+001  0.80561971E+000 -0.52573593E+000  0.96198824E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36440990E+004  0.99878235E+000  0.93778065E-002  0.10081602E+001  0.98940454E+000
  0.10250000E+000  0.10083518E+001  0.46653547E+000 -0.84096635E+000  0.96170668E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36422015E+004  0.99851233E+000  0.98394839E-002  0.10083518E+001  0.98867284E+000
  0.10500000E+000  0.10085485E+001  0.19145004E-001 -0.96049036E+000  0.96068114E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36388287E+004  0.99823742E+000  0.10311113E-001  0.10085485E+001  0.98792631E+000
  0.10750000E+000  0.10087499E+001 -0.43116122E+000 -0.85629770E+000  0.95872089E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36370730E+004  0.99795771E+000  0.10792237E-001  0.10087499E+001  0.98716547E+000
  0.11000000E+000  0.10089489E+001 -0.77884208E+000 -0.55452978E+000  0.95608486E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36389469E+004  0.99766475E+000  0.11284193E-001  0.10089489E+001  0.98638056E+000
  0.11250000E+000  0.10091451E+001 -0.94478302E+000 -0.12753101E+000  0.95335152E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36380846E+004  0.99735541E+000  0.11789648E-001  0.10091451E+001  0.98556576E+000
  0.11500000E+000  0.10093445E+001 -0.89360709E+000  0.32570768E+000  0.95111467E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36322463E+004  0.99703660E+000  0.12307868E-001  0.10093445E+001  0.98472873E+000
  0.11750000E+000  0.10095383E+001 -0.63887810E+000  0.70265354E+000  0.94967744E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36275404E+004  0.99670247E+000  0.12835778E-001  0.10095383E+001  0.98386670E+000
  0.12000000E+000  0.10097272E+001 -0.23865038E+000  0.91841826E+000  0.94891839E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36270690E+004  0.99635194E+000  0.13375262E-001  0.10097272E+001  0.98297668E+000
  0.12250000E+000  0.10099185E+001  0.21626770E+000  0.92338360E+000  0.94837176E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36280429E+004  0.99599461E+000  0.13923849E-001  0.10099185E+001  0.98207076E+000
  0.12500000E+000  0.10101145E+001  0.62109454E+000  0.71552250E+000  0.94748661E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36271217E+004  0.99563366E+000  0.14480824E-001  0.10101145E+001  0.98115284E+000
  0.12750000E+000  0.10103123E+001  0.88154897E+000  0.34305012E+000  0.94594502E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36252318E+004  0.99526564E+000  0.15046636E-001  0.10103123E+001  0.98021900E+000
