Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.99981969E+000  0.99981969E+000 -0.27755576E-016  0.99981969E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34088727E+004  0.99981969E+000  0.00000000E+000  0.99981969E+000  0.99981969E+000
  0.25000000E-002  0.99996085E+000  0.88225286E+000 -0.46931519E+000  0.99931319E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34079891E+004  0.99995460E+000  0.62471239E-005  0.99996085E+000  0.99994836E+000
  0.50000000E-002  0.10001017E+001  0.55822242E+000 -0.82712565E+000  0.99787230E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34070855E+004  0.10000768E+001  0.24966298E-004  0.10001017E+001  0.10000518E+001
  0.75000000E-002  0.10002423E+001  0.10578697E+000 -0.99046113E+000  0.99609444E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34062018E+004  0.10001862E+001  0.56093545E-004  0.10002423E+001  0.10001301E+001
  0.10000000E-001  0.10003826E+001 -0.36898403E+000 -0.92364253E+000  0.99461789E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34054019E+004  0.10002830E+001  0.99549128E-004  0.10003826E+001  0.10001835E+001
  0.12500000E-001  0.10005226E+001 -0.75717824E+000 -0.64365490E+000  0.99378595E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34046804E+004  0.10003673E+001  0.15527086E-003  0.10005226E+001  0.10002120E+001
  0.15000000E-001  0.10006622E+001 -0.96995767E+000 -0.21486337E+000  0.99347076E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34039690E+004  0.10004391E+001  0.22318784E-003  0.10006622E+001  0.10002159E+001
  0.17500000E-001  0.10008016E+001 -0.95738252E+000  0.26415572E+000  0.99315635E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34031825E+004  0.10004983E+001  0.30326460E-003  0.10008016E+001  0.10001951E+001
  0.20000000E-001  0.10009407E+001 -0.72127035E+000  0.68139869E+000  0.99223742E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34022351E+004  0.10005452E+001  0.39548880E-003  0.10009407E+001  0.10001498E+001
  0.22500000E-001  0.10010796E+001 -0.31719264E+000  0.93818687E+000  0.99035638E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34011881E+004  0.10005798E+001  0.49980312E-003  0.10010796E+001  0.10000800E+001
  0.25000000E-001  0.10012181E+001  0.15845217E+000  0.97481076E+000  0.98760473E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34001789E+004  0.10006019E+001  0.61618329E-003  0.10012181E+001  0.99998575E+000
  0.27500000E-001  0.10013563E+001  0.59363152E+000  0.78538319E+000  0.98449233E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.33992573E+004  0.10006118E+001  0.74450820E-003  0.10013563E+001  0.99986733E+000
