Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
  0.55000000E-001  0.63976655E+002 -0.45698172E-002  0.28085455E-001  0.28454807E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62014438E+003  0.21751982E+001  0.61801457E+002  0.63976655E+002 -0.59626258E+002
  0.57500000E-001  0.63975630E+002  0.92463074E-002  0.26830588E-001  0.28379124E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62013052E+003  0.21910384E+001  0.61784591E+002  0.63975630E+002 -0.59593553E+002
  0.60000000E-001  0.63974609E+002  0.20847561E-001  0.19221310E-001  0.28356297E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62011522E+003  0.22075198E+001  0.61767090E+002  0.63974609E+002 -0.59559570E+002
  0.62500000E-001  0.63973589E+002  0.27485165E-001  0.70320457E-002  0.28370477E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62010340E+003  0.22246318E+001  0.61748958E+002  0.63973589E+002 -0.59524326E+002
  0.65000000E-001  0.31983118E+002  0.30433235E-001 -0.38088631E-002  0.30670657E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30864794E+003  0.21142518E+001  0.29868867E+002  0.31983118E+002 -0.27754615E+002
  0.67500000E-001  0.31982502E+002  0.25127674E-001 -0.17597388E-001  0.30676833E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30864342E+003  0.21229643E+001  0.29859537E+002  0.31982502E+002 -0.27736573E+002
  0.70000000E-001  0.31981885E+002  0.13975624E-001 -0.27256314E-001  0.30630454E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30867030E+003  0.21319640E+001  0.29849921E+002  0.31981885E+002 -0.27717957E+002
  0.72500000E-001  0.31981266E+002 -0.38993995E-003 -0.30554208E-001  0.30556696E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30872111E+003  0.21412478E+001  0.29840018E+002  0.31981266E+002 -0.27698771E+002
  0.75000000E-001  0.31980647E+002 -0.14636005E-001 -0.26756894E-001  0.30498262E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30874749E+003  0.21508108E+001  0.29829836E+002  0.31980647E+002 -0.27679025E+002
  0.77500000E-001  0.31980030E+002 -0.25487531E-001 -0.16740420E-001  0.30493539E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30873812E+003  0.21606423E+001  0.29819388E+002  0.31980030E+002 -0.27658746E+002
  0.80000000E-001  0.31979418E+002 -0.30425899E-001 -0.27857733E-002  0.30553164E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30873053E+003  0.21707289E+001  0.29808689E+002  0.31979418E+002 -0.27637960E+002
  0.82500000E-001  0.31978806E+002 -0.28255314E-001  0.11888188E-001  0.30654392E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30873279E+003  0.21810553E+001  0.29797751E+002  0.31978806E+002 -0.27616695E+002
  0.85000000E-001  0.31978192E+002 -0.19436089E-001  0.23830929E-001  0.30751825E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30872350E+003  0.21916122E+001  0.29786580E+002  0.31978192E+002 -0.27594967E+002
  0.87500000E-001  0.31977579E+002 -0.60376137E-002  0.30201441E-001  0.30799023E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30869896E+003  0.22024022E+001  0.29775176E+002  0.31977579E+002 -0.27572774E+002
  0.90000000E-001  0.31976967E+002  0.87559597E-002  0.29500054E-001  0.30772066E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30868287E+003  0.22134317E+001  0.29763535E+002  0.31976967E+002 -0.27550104E+002
  0.92500000E-001  0.31976359E+002  0.21455366E-001  0.21932198E-001  0.30681493E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30869698E+003  0.22247082E+001  0.29751651E+002  0.31976359E+002 -0.27526943E+002
  0.95000000E-001  0.31975753E+002  0.29117653E-001  0.93077987E-002  0.30569148E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30872621E+003  0.22362326E+001  0.29739520E+002  0.31975753E+002 -0.27503288E+002
  0.97500000E-001  0.31975149E+002  0.29998826E-001 -0.54315533E-002  0.30486576E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30873257E+003  0.22479967E+001  0.29727152E+002  0.31975149E+002 -0.27479156E+002
  0.10000000E+000  0.31974548E+002  0.23903668E-001 -0.18888515E-001  0.30465741E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30872288E+003  0.22599865E+001  0.29714561E+002  0.31974548E+002 -0.27454575E+002
  0.10250000E+000  0.31973947E+002  0.12224720E-001 -0.27948914E-001  0.30505501E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30871837E+003  0.22721873E+001  0.29701760E+002  0.31973947E+002 -0.27429573E+002
  0.10500000E+000  0.31973347E+002 -0.23327297E-002 -0.30484431E-001  0.30573554E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30871223E+003  0.22845916E+001  0.29688755E+002  0.31973347E+002 -0.27404164E+002
  0.10750000E+000  0.31972743E+002 -0.16346066E-001 -0.25890543E-001  0.30618852E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30870651E+003  0.22971990E+001  0.29675544E+002  0.31972743E+002 -0.27378345E+002
  0.11000000E+000  0.31972135E+002 -0.26506967E-001 -0.15276057E-001  0.30593744E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.30869744E+003  0.23100188E+001  0.29662116E+002  0.31972135E+002 -0.27352097E+002
