Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.99983739E+000  0.99983739E+000  0.00000000E+000  0.99983739E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34911106E+004  0.99983739E+000  0.00000000E+000  0.99983739E+000  0.99983739E+000
  0.25000000E-002  0.99994199E+000  0.88221366E+000 -0.46935165E+000  0.99929571E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34901814E+004  0.99993574E+000  0.62476920E-005  0.99994199E+000  0.99992950E+000
  0.50000000E-002  0.10000464E+001  0.55812121E+000 -0.82713324E+000  0.99782197E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34892625E+004  0.10000214E+001  0.24966715E-004  0.10000464E+001  0.99999644E+000
  0.75000000E-002  0.10001505E+001  0.10566294E+000 -0.99040668E+000  0.99602713E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34883750E+004  0.10000945E+001  0.56083543E-004  0.10001505E+001  0.10000384E+001
  0.10000000E-001  0.10002545E+001 -0.36910610E+000 -0.92352142E+000  0.99455072E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34875357E+004  0.10001550E+001  0.99511202E-004  0.10002545E+001  0.10000555E+001
  0.12500000E-001  0.10003582E+001 -0.75726661E+000 -0.64344164E+000  0.99371518E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34867632E+004  0.10002030E+001  0.15519890E-003  0.10003582E+001  0.10000478E+001
  0.15000000E-001  0.10004617E+001 -0.96992832E+000 -0.21456550E+000  0.99337772E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34859946E+004  0.10002386E+001  0.22309924E-003  0.10004617E+001  0.10000155E+001
  0.17500000E-001  0.10005650E+001 -0.95717476E+000  0.26444744E+000  0.99303372E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34851020E+004  0.10002618E+001  0.30321061E-003  0.10005650E+001  0.99995855E+000
  0.20000000E-001  0.10006680E+001 -0.72090155E+000  0.68157470E+000  0.99209027E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34840704E+004  0.10002725E+001  0.39545838E-003  0.10006680E+001  0.99987704E+000
  0.22500000E-001  0.10007707E+001 -0.31673610E+000  0.93816231E+000  0.99018699E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34830273E+004  0.10002709E+001  0.49980705E-003  0.10007707E+001  0.99977113E+000
  0.25000000E-001  0.10008733E+001  0.15887760E+000  0.97454881E+000  0.98741454E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34821098E+004  0.10002571E+001  0.61621120E-003  0.10008733E+001  0.99964088E+000
  0.27500000E-001  0.10009756E+001  0.59390455E+000  0.78492599E+000  0.98429235E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.34813449E+004  0.10002311E+001  0.74451664E-003  0.10009756E+001  0.99948658E+000
