Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.99980607E+000  0.99980607E+000 -0.55511151E-016  0.99980607E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36748293E+004  0.99980607E+000  0.00000000E+000  0.99980607E+000  0.99980607E+000
  0.25000000E-002  0.99990287E+000  0.88220061E+000 -0.46932629E+000  0.99927228E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36733926E+004  0.99989663E+000  0.62466540E-005  0.99990287E+000  0.99989038E+000
  0.50000000E-002  0.99999948E+000  0.55813409E+000 -0.82711746E+000  0.99781609E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36719756E+004  0.99997452E+000  0.24957673E-004  0.99999948E+000  0.99994956E+000
  0.75000000E-002  0.10000959E+001  0.10566938E+000 -0.99041174E+000  0.99603285E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36705735E+004  0.10000398E+001  0.56071668E-004  0.10000959E+001  0.99998374E+000
  0.10000000E-001  0.10001921E+001 -0.36911797E+000 -0.92351737E+000  0.99455136E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36691470E+004  0.10000926E+001  0.99507633E-004  0.10001921E+001  0.99999308E+000
  0.12500000E-001  0.10002881E+001 -0.75726909E+000 -0.64341449E+000  0.99369949E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36676637E+004  0.10001329E+001  0.15519191E-003  0.10002881E+001  0.99997772E+000
  0.15000000E-001  0.10003839E+001 -0.96990139E+000 -0.21453591E+000  0.99334503E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36661603E+004  0.10001608E+001  0.22306545E-003  0.10003839E+001  0.99993774E+000
  0.17500000E-001  0.10004794E+001 -0.95712326E+000  0.26445339E+000  0.99298567E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36647052E+004  0.10001763E+001  0.30313442E-003  0.10004794E+001  0.99987317E+000
  0.20000000E-001  0.10005748E+001 -0.72084969E+000  0.68154137E+000  0.99202969E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36633475E+004  0.10001795E+001  0.39536802E-003  0.10005748E+001  0.99978410E+000
  0.22500000E-001  0.10006700E+001 -0.31671179E+000  0.93810108E+000  0.99012120E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36620859E+004  0.10001704E+001  0.49960328E-003  0.10006700E+001  0.99967078E+000
  0.25000000E-001  0.10007648E+001  0.15887176E+000  0.97448039E+000  0.98734607E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36608245E+004  0.10001490E+001  0.61579975E-003  0.10007648E+001  0.99953325E+000
  0.27500000E-001  0.10008597E+001  0.59386667E+000  0.78485071E+000  0.98420946E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36595154E+004  0.10001156E+001  0.74403396E-003  0.10008597E+001  0.99937159E+000
