Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
  1.65000000E-001  2.02943110E+000  7.83398950E-001 -5.37564840E-001  9.50099930E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00637570E+003  1.97699180E+000  5.24393530E-002  2.02943110E+000  1.92455240E+000
  1.72500000E-001  2.03359650E+000 -4.44899320E-001 -8.46417490E-001  9.56220670E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00496550E+003  1.97586440E+000  5.77321560E-002  2.03359650E+000  1.91813220E+000
  1.80000000E-001  2.03282150E+000 -8.96754770E-001  3.46183730E-001  9.61255580E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00291100E+003  1.96958920E+000  6.32322440E-002  2.03282150E+000  1.90635700E+000
  1.87500000E-001  2.02791960E+000  2.42646050E-001  9.32520290E-001  9.63572110E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00701230E+003  1.96032510E+000  6.75945390E-002  2.02791960E+000  1.89273050E+000
  1.95000000E-001  2.02752960E+000  9.57400180E-001 -1.33456190E-001  9.66656950E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00430360E+003  1.95462730E+000  7.29023060E-002  2.02752960E+000  1.88172500E+000
  2.02500000E-001  2.02769830E+000 -2.78946040E-002 -9.66873100E-001  9.67275400E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00373230E+003  1.94894550E+000  7.87527700E-002  2.02769830E+000  1.87019270E+000
  2.10000000E-001  2.03144710E+000 -9.63324740E-001 -7.95913600E-002  9.66607130E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.99521320E+003  1.94714300E+000  8.43041250E-002  2.03144710E+000  1.86283880E+000
  2.17500000E-001  2.03316900E+000 -1.87097110E-001  9.47432460E-001  9.65729560E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.99827700E+003  1.94353360E+000  8.96353880E-002  2.03316900E+000  1.85389820E+000
  2.25000000E-001  2.03420790E+000  9.17951420E-001  2.92782840E-001  9.63512630E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00448480E+003  1.93876300E+000  9.54449600E-002  2.03420790E+000  1.84331800E+000
  2.32500000E-001  2.03360340E+000  3.95994900E-001 -8.75895930E-001  9.61252120E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00866130E+003  1.93188900E+000  1.01714410E-001  2.03360340E+000  1.83017460E+000
  2.40000000E-001  2.03036830E+000 -8.24760230E-001 -4.93487980E-001  9.61124250E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00206940E+003  1.92180880E+000  1.08559530E-001  2.03036830E+000  1.81324930E+000
  2.47500000E-001  2.02927120E+000 -5.83381060E-001  7.63837780E-001  9.61135590E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.01176160E+003  1.91383940E+000  1.15431860E-001  2.02927120E+000  1.79840750E+000
  2.55000000E-001  2.03301910E+000  6.95277370E-001  6.65081190E-001  9.62155710E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.01374760E+003  1.90721510E+000  1.25803980E-001  2.03301910E+000  1.78141110E+000
  2.62500000E-001  2.02424800E+000  7.38763240E-001 -6.16527650E-001  9.62225270E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.01479540E+003  1.89307850E+000  1.31169500E-001  2.02424800E+000  1.76190900E+000
  2.70000000E-001  2.02049740E+000 -5.29342380E-001 -8.03943970E-001  9.62563900E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.01334990E+003  1.88004310E+000  1.40454310E-001  2.02049740E+000  1.73958880E+000
  2.77500000E-001  2.02159920E+000 -8.56740010E-001  4.38525220E-001  9.62448870E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.01162800E+003  1.87285690E+000  1.48742340E-001  2.02159920E+000  1.72411450E+000
  2.85000000E-001  2.02210660E+000  3.41685390E-001  8.99188700E-001  9.61919550E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00232130E+003  1.86716510E+000  1.54941510E-001  2.02210660E+000  1.71222360E+000
