Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
  0.16500000E+000  0.20294311E+001  0.78339895E+000 -0.53756484E+000  0.95009993E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20063757E+004  0.19769918E+001  0.52439353E-001  0.20294311E+001  0.19245524E+001
  0.17250000E+000  0.20335965E+001 -0.44489932E+000 -0.84641749E+000  0.95622067E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20049655E+004  0.19758644E+001  0.57732156E-001  0.20335965E+001  0.19181322E+001
  0.18000000E+000  0.20328215E+001 -0.89675477E+000  0.34618373E+000  0.96125558E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20029110E+004  0.19695892E+001  0.63232244E-001  0.20328215E+001  0.19063570E+001
  0.18750000E+000  0.20279196E+001  0.24264605E+000  0.93252029E+000  0.96357211E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20070123E+004  0.19603251E+001  0.67594539E-001  0.20279196E+001  0.18927305E+001
  0.19500000E+000  0.20275296E+001  0.95740018E+000 -0.13345619E+000  0.96665695E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20043036E+004  0.19546273E+001  0.72902306E-001  0.20275296E+001  0.18817250E+001
  0.20250000E+000  0.20276983E+001 -0.27894604E-001 -0.96687310E+000  0.96727540E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20037323E+004  0.19489455E+001  0.78752770E-001  0.20276983E+001  0.18701927E+001
  0.21000000E+000  0.20314471E+001 -0.96332474E+000 -0.79591360E-001  0.96660713E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19952132E+004  0.19471430E+001  0.84304125E-001  0.20314471E+001  0.18628388E+001
  0.21750000E+000  0.20331690E+001 -0.18709711E+000  0.94743246E+000  0.96572956E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19982770E+004  0.19435336E+001  0.89635388E-001  0.20331690E+001  0.18538982E+001
  0.22500000E+000  0.20342079E+001  0.91795142E+000  0.29278284E+000  0.96351263E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20044848E+004  0.19387630E+001  0.95444960E-001  0.20342079E+001  0.18433180E+001
  0.23250000E+000  0.20336034E+001  0.39599490E+000 -0.87589593E+000  0.96125212E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20086613E+004  0.19318890E+001  0.10171441E+000  0.20336034E+001  0.18301746E+001
  0.24000000E+000  0.20303683E+001 -0.82476023E+000 -0.49348798E+000  0.96112425E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20020694E+004  0.19218088E+001  0.10855953E+000  0.20303683E+001  0.18132493E+001
